index	input	target
176	ini hanya pesta. ayah	Kenakan perutmu sebelum pergi.
177	ya Tuhan . dimulai.	ini hanya pesta. ayah
179	Ayah, orang-orang berharap aku ada di sana!	jika kat tidak pergi, kamu tidak akan pergi.
184	ayah, aku -	dan kemana kamu pergi?
186	tapi dia tidak mau berkencan.	tepatnya maksud saya
201	Buttholus extremus. tapi, hei, kamu membuat kemajuan.	tidak, bukan aku .
207	taburkan telingamu selama satu malam.	ini band favoritnya.
209	dia cantik!	baik ! saya tidak yakin
211	paman favoritnya	mati di empat puluh satu.
212	itu masalah kanker paru-paru	paman favoritnya
213	nomor satu . dia membenci perokok	itu masalah kanker paru-paru
230	apa yang membuatmu berpikir dia akan melakukannya?	Sepertinya dia tumbuh dalam bahaya
232	bagaimana dengan dia ?	kamu ingin pergi dengan dia?
236	itu dia ? adik bianca?	anak nakal, bajingan rampolis sendiri.
237	ya, hanya pertemuan kecil dengan tikus itu.	itu dia ? adik bianca?
241	tentu lakukan. . . ibuku dari canada	tebak siapa yang baru mendaftar menjadi tutor?
242	kamu tahu bahasa perancis?	tentu lakukan. . . ibuku dari canada
251	Anda membakar, saya pinus, saya binasa?	siapa dia ?
252	gadis itu - saya -	Anda membakar, saya pinus, saya binasa?
256	berapa banyak orang yang pergi ke sini?	beberapa ribu. kebanyakan dari mereka jahat
257	keluar !	berapa banyak orang yang pergi ke sini?
258	tiga puluh dua .	keluar !
259	berapa banyak orang di sekolah lamamu?	tiga puluh dua .
262	utara, sebenarnya. bagaimana kabarmu?	saya bercanda . orang benar-benar tinggal di sana?
263	jadi - mana dakota kamu dari?	utara, sebenarnya. bagaimana kabarmu?
266	kamu orang baru?	jadi mereka memberi tahu saya. . .
268	apa yang terburuk?	kamu mendapatkan gadis itu.
270	dia menciumku.	dimana?
271	Anda membuat kemajuan apa pun?	dia menciumku.
277	yakin	lalu, tangkap dia
278	cameron - apakah kamu menyukai gadis itu?	yakin
279	dia berpihak pada joey, bukan aku	cameron - apakah kamu menyukai gadis itu?
280	apa yang kamu bicarakan ?	dia berpihak pada joey, bukan aku
281	itu mati. secara garis besar .	apa yang kamu bicarakan ?
282	cameron, aku agak sibuk	itu mati. secara garis besar .
284	gigglepuss sedang bermain di sana besok malam.	jangan buat aku melakukan itu, kawan
292	tinggalkan adikku sendiri.	dan mengapa saya melakukan itu?
293	adikmu di sini?	tinggalkan adikku sendiri.
294	pergi.	adikmu di sini?
295	kemana ya pergi?	pergi.
297	hei - apakah kamu keberatan?	tidak semuanya
304	melakukan apa ?	membuatnya bersikap seperti manusia
305	bagaimana kamu melakukannya?	melakukan apa ?
306	kesepakatan adalah kesepakatan.	bagaimana kamu melakukannya?
307	ini tentang waktu .	kesepakatan adalah kesepakatan.
309	lupakan .	lupakan saudara perempuannya, kalau begitu.
310	seratus dolar kencan.	lupakan .
311	apa ?	seratus dolar kencan.
312	saya baru saja menaikkan harga saya	apa ?
316	ketika saya membayar lima puluh, saya mengharapkan hasil.	saya ikut
327	Anda baru saja mengatakan	Anda butuh uang untuk mengeluarkan seorang gadis
328	tentu, sparky. aku akan segera mendapatkannya.	Anda baru saja mengatakan
331	apa yang kamu pikirkan ?	dua kaki, rak yang bagus. . .
332	ya	apa yang kamu pikirkan ?
337	uh, ya. kita teman lama *	kamu dan verona?
338	saya mendengar Anda membantu verona.	uh, ya. kita teman lama *
345	tidak - hanya datang untuk mengobrol	kami tidak mengobrol.
346	Apakah kamu tersesat ?	tidak - hanya datang untuk mengobrol
347	hei	Apakah kamu tersesat ?
351	sudahkah kamu melihatnya?	siapa ?
360	saya melakukan bianca bantuan dan itu menjadi bumerang.	kamu tidak
365	apa yang dia katakan?	siapa peduli ?
367	kamu pikir ini akan bekerja?	tidak takut .
372	itu tidak pernah terbukti	tidak memiliki heteroseksualitasnya.
373	william bahkan tidak pergi ke sekolah menengah	itu tidak pernah terbukti
381	apa ini ?	celah percobaan.
382	hanya sedikit .	apa ini ?
385	dia selalu terlihat begitu	memblokir e?
389	siapa itu ?	patrick verona skid acak.
408	nenekku.	apa ?
411	itu hanya sesuatu yang saya miliki. kamu tahu	oh huh
422	tidak, aku tidak akan pergi bersamamu	kenapa tidak ?
423	tidak ada apa?	tidak, aku tidak akan pergi bersamamu
424	tidak .	tidak ada apa?
425	Kamu tahu apa maksudku	tidak .
426	apakah itu permintaan atau perintah?	Kamu tahu apa maksudku
427	pergi ke prom denganku	apakah itu permintaan atau perintah?
430	apa ?	tidak ada orang lain yang tahu
434	katakan padaku sesuatu yang benar.	saya benci kacang polong.
436	kabar angin.	Saya tahu karier pornografi itu bohong.
437	Bebek ?	kabar angin.
438	kekeliruan.	Bebek ?
439	polisi negara bagian?	kekeliruan.
441	kamu siap untuk itu?	untuk. . . ?
442	kamu tidak pernah mengecewakanku.	kamu siap untuk itu?
443	bagaimana caranya?	kamu tidak pernah mengecewakanku.
444	maka kamu gagal	bagaimana caranya?
445	sesuatu seperti itu	maka kamu gagal
449	bertindak seperti yang kita lakukan.	iya nih
450	jadi apa alasanmu?	bertindak seperti yang kita lakukan.
451	ya, baiklah, jangan biarkan itu keluar	jadi apa alasanmu?
452	sisi yang lembut? siapa yang tahu ?	ya, baiklah, jangan biarkan itu keluar
453	Aku mempesona dia dengan kecerdasanku	sisi yang lembut? siapa yang tahu ?
461	letakkan kaki kananmu di sana -	lupakan . aku tetap di sini.
462	coba lihat dari sudut ini	letakkan kaki kananmu di sana -
463	Ayo . tidak seburuk itu	coba lihat dari sudut ini
468	jadi apa efeknya pada saya?	selain dari refleks upchuck saya? tidak ada .
472	sehat.	tidak diinginkan.
473	menyenangkan?	sehat.
474	kamu sangat --	menyenangkan?
475	Saya mendengar ada pembacaan puisi.	kamu sangat --
476	apa yang kamu lakukan di sini ?	Saya mendengar ada pembacaan puisi.
480	siapa ?	putih
484	oh, jadi sekarang kamu pikir kamu kenal aku?	aku akan kesana
487	memulai sebuah band?	ayah saya tidak akan menyetujui itu
488	ini	memulai sebuah band?
489	melakukan apa ?	ini
490	saya harus melakukan ini.	melakukan apa ?
491	kenapa kamu berbohong?	saya harus melakukan ini.
492	lalu kenapa kamu bertanya?	kenapa kamu berbohong?
493	tidak, kamu tidak	lalu kenapa kamu bertanya?
494	mungkin .	tidak, kamu tidak
495	apakah kamu di penjara?	mungkin .
496	sibuk	apakah kamu di penjara?
501	kat! bangun !	apa ?
503	saya pikir Anda berada di atas semua itu	Anda tahu apa yang mereka katakan
507	Dorsey.	Aku benci dia .
508	siapa ?	Dorsey.
509	kenapa kamu membiarkan dia mendapatkanmu?	siapa ?
515	tentu saja, saya lakukan	kenapa?
516	kamu tidak peduli jika aku mati	tentu saja, saya lakukan
517	aku sudah bilang	kamu tidak peduli jika aku mati
518	kenapa kamu melakukan ini?	aku sudah bilang
525	kamu tidak baik-baik saja.	saya hanya perlu berbaring sebentar
526	saya baik-baik saja . saya m	kamu tidak baik-baik saja.
527	baik ?	saya baik-baik saja . saya m
529	saya katakan, lakukan apa yang ingin Anda lakukan.	lucu, kaulah satu-satunya
533	Anda tahu siapa jas hujan itu?	kenapa, bukan?
537	permisi ?	itu yang kamu inginkan, bukan?
542	Hai	Anda bukan pembicara besar, kan?
546	Anda - tercakup dalam muntahan saya.	tujuh tigapuluh ?
556	menjemputmu jumat, lalu	oh benar. jumat.
558	ada cara untuk mendapatkan perhatian seorang pria.	misi saya dalam hidup.
559	berkeringat seperti babi, sebenarnya. dan dirimu ?	ada cara untuk mendapatkan perhatian seorang pria.
560	maksudku wo-man. apa kabar' ?	berkeringat seperti babi, sebenarnya. dan dirimu ?
569	bagian-bagiannya.	bagian mana?
579	sebagai orang tua, itu hak saya	jadi apa yang kuinginkan tidak penting?
580	karena Anda membuat keputusan untuk saya.	sebagai orang tua, itu hak saya
581	mengapa kita tidak bisa menyetujui ini?	karena Anda membuat keputusan untuk saya.
582	saya pikir kamu menghukum saya.	mengapa kita tidak bisa menyetujui ini?
585	asuransi saya tidak mencakup pms	kemudian beri tahu mereka bahwa saya mengalami kejang.
601	kat kipas, juga?	ya . .
602	benar	kat kipas, juga?
603	macbeth, kan?	benar
605	kamu pikir ?	Oh ya .
606	ya saya kira .	kamu pikir ?
607	gambar keren. kamu penggemar?	ya saya kira .
608	hai	gambar keren. kamu penggemar?
609	hei di sana. lelah bernafas?	hai
612	kamu benar . dia masih kesal.	cinta yang manis, perbarui kekuatanmu!
618	pernah ke klub sigung?	ya
620	"apakah kamu memberitahuku aku adalah - ""non-perokok""?"	hanya untuk sekarang.
622	apa ? !	cukup baik .
635	katakan	apa ?
637	Anda benar-benar gila.	sampai jumpa minggu depan !
650	benar-benar tidak .	itulah yang saya pikir
651	apa ada yang ingin saya katakan tentang itu?	benar-benar tidak .
652	putrimu pergi ke pesta dansa.	apa ada yang ingin saya katakan tentang itu?
653	apa yang baru saja terjadi ?	putrimu pergi ke pesta dansa.
655	bersenang-senang, sayang!	tapi - siapa - apa -?
663	tumescent!	kamu tidak membantu.
668	di microwave.	membuat siapa pun menangis hari ini?
673	dia anak iblis. . .	kita semua jadi gila. . .
690	hidup Anda, dan orang lain!	jika mereka setuju untuk mengikuti saya, ya.
712	tidak bisakah kamu tinggal bersama kami sedikit?	saya sibuk di dalam.
719	beatrix, saya ingin menanyakan sesuatu.	Anda biasanya tidak bertanya.
721	aku tidak ingin kamu menungguku.	itu sesuatu yang tidak bisa kamu putuskan.
722	Saya tidak meminta Anda bersumpah untuk apa pun.	aku tidak ingin kamu menungguku.
724	dia berkata ya .	Terima kasih Tuhan . . .
731	aku tahu .	saya tidak memberi Anda banyak kehidupan.
732	saya bisa pergi selama bertahun-tahun.	aku tahu .
739	janji untuk apa?	viceroy dari indies barat.
740	surat pengangkatan saya.	janji untuk apa?
741	iya nih . . . aku ingat . . .	surat pengangkatan saya.
742	don alonso de bobadilla	iya nih . . . aku ingat . . .
744	bolehkah saya bertanya oleh siapa?	usus bartolome dan giacomo.
758	bagaimana perasaanmu, fernando?	tidak buruk .
760	saya harus menjelajahi daratan.	kali ini denganku!
765	Saya ingin pergi bersama anda !	akan ada waktu.
769	lihat keluar dari jendela itu.	apa yang kamu lihat ?
780	Anda membela diri Anda dengan mengagumkan. . .	. . . untuk orang biasa?
786	saya tidak menawar!	maka Anda terlalu ambisius.
790	tidak . . .	tidak ?
796	dia mengerti .	tanyakan apakah dia akan membantu.
802	untuk membawa firman tuhan.	kepala mengatakan - dia memiliki dewa.
803	kenapa?	untuk membawa firman tuhan.
804	ribuan .	kenapa?
805	kepala mengatakan - berapa banyak?	ribuan .
808	katakan pada kepala kita berterima kasih padanya.	kepala tahu.
809	kau datang ! kamu berbicara dulu!	katakan pada kepala kita berterima kasih padanya.
815	dunia baru menciptakan orang-orang baru.	oh? jadi kamu lelaki baru?
816	aku tahu kamu akan melakukannya.	dunia baru menciptakan orang-orang baru.
817	saya harus tidak setuju.	aku tahu kamu akan melakukannya.
819	Saya kira kita berdua sudah tua sekarang.	Anda akan selalu lebih tua dari saya, ayah.
821	aku percaya padamu. . .	berikan aku absolusi.
822	Anda diikat oleh sumpah, ayah.	aku percaya padamu. . .
832	maafkan aku, ayah. karena saya telah berdosa.	Saya mendengarkan, anak saya.
833	dalam nama Bapa dan Anak, dan Roh Kudus.	maafkan aku, ayah. karena saya telah berdosa.
835	mereka semua ! hanya kebohongan!	usus besar ! jangan!
838	Tuhan sialan!	usus besar !
846	ayah marchena!	gairah adalah sesuatu yang tidak bisa dikontrol!
847	Saya akan mencoba mengingatnya, marchena. . .	ayah marchena!
850	esdras adalah seorang Yahudi.	begitu juga kristus!
859	itulah yang dikatakannya.	bagaimana Anda mengaturnya?
860	Allah . . . itu dalam seminggu!	itulah yang dikatakannya.
874	bolehkah saya berbicara dengan bebas?	Anda tidak menunjukkan kecenderungan untuk berbicara sebaliknya!
876	Saya tidak bisa mengabaikan putusan dewan saya.	pasti Anda bisa melakukan apa pun yang Anda inginkan.
877	bahwa dia tak tertembus.	Saya tidak bisa mengabaikan putusan dewan saya.
878	apa yang mereka katakan tentang granada sebelum hari ini?	bahwa dia tak tertembus.
879	lautan tidak bisa diseberangi?	apa yang mereka katakan tentang granada sebelum hari ini?
888	kuda saya tidak berfungsi.	don moxica - kita semua harus bekerja.
889	kita tidak bisa menaikkan roda tanpa itu.	kuda saya tidak berfungsi.
901	apa yang kamu baca ?	dua puluh delapan .
909	Anda mengatakan itu kepada mereka!	kamu benar . biarkan para pria memutuskan.
917	kita tersesat!	tanah ada di sana. saya tahu itu !
918	kamu pikir aku tidak tahu itu?	kita tersesat!
919	kita berada di ambang pemberontakan, usus besar!	kamu pikir aku tidak tahu itu?
922	enam hari yang lalu, ya.	kamu pasti gila. . . !
925	dimana saya bisa bertemu pria ini?	segera.
927	lalu mengapa ?	karena dia tidak takut padaku.
928	saya tahu, saya seharusnya tidak mentoleransi ketidaksopanannya.	lalu mengapa ?
931	lalu, apa yang Anda sarankan, jangan sanchez?	dia harus diganti.
941	apakah pria yang kukenal, bendahara sanchez?	ya yang Mulia .
964	tidak . tidak mungkin .	tapi itu . . .
969	jangan khawatir tentang dia. pikirkan tentang dirimu sendiri.	bagaimana dengan hak film saya? hak buku?
970	tidak, dia ada di sini. Sial. . .	jangan khawatir tentang dia. pikirkan tentang dirimu sendiri.
975	. . .delusions dan paranoia.	saya semua ini.
977	kamu membawa rokok?	oh, tentu.
981	Aku ikut denganmu.	iya nih . ya, ikut aku!
982	kemana kita akan pergi ?	Aku ikut denganmu.
983	jangan katakan apapun.	kemana kita akan pergi ?
987	disini saya punya uang Anda.	Oh! Dari! Mari kita t!
995	apa yang sedang kamu lakukan ?	menuangkannya!
997	saya akan membuatkan beberapa untuk kita.	saya akan mendapatkan pakaian saya.
998	di dapur .	saya akan membuatkan beberapa untuk kita.
999	apakah kamu punya kopi?	di dapur .
1000	benar	apakah kamu punya kopi?
1001	Anda sebaiknya dikemas.	benar
1007	ludwig? dia gay - apakah kamu cemburu?	jika aku adalah pacarmu, aku mungkin.
1008	Apakah dia pacarmu ?	ludwig? dia gay - apakah kamu cemburu?
1010	Aku masih tidak bisa percaya eddie pergi.	Maafkan saya .
1011	apa kamu baik baik saja ?	Aku masih tidak bisa percaya eddie pergi.
1019	jadi kamu tidak pernah menjadi pelacur?	apa yang kamu tanyakan padaku?
1022	bagaimana dengan kembali ke rumah?	tidak .
1023	tidak .	bagaimana dengan kembali ke rumah?
1024	apakah kamu pernah mengubah trik sebelumnya?	tidak .
1025	ya, saya mempertimbangkannya.	apakah kamu pernah mengubah trik sebelumnya?
1026	Anda dianggap menjadi pelacur?	ya, saya mempertimbangkannya.
1027	ya cara ini .	Anda dianggap menjadi pelacur?
1028	jadi . stasiun itu kosong?	ya cara ini .
1031	aku tidak bisa membawamu ke tempatku.	di tempat lain ?
1034	Apakah kamu sudah menikah ?	bercerai .
1035	mereka tidak akan sampai ini selesai.	Apakah kamu sudah menikah ?
1036	saya akan jika mereka tidak mengirim saya kembali.	mereka tidak akan sampai ini selesai.
1040	baik . itu adalah pembunuhan yang dapat dibenarkan.	ya, tapi dia seorang polisi.
1057	Oh ya . . . ? baik .	Saya siap untuk mendapat pengarahan. permisi .
1061	oh .	Itu adalah keputusan saya, bukan keputusannya.
1072	kepala - pikiran jika saya membawanya?	baik . tapi bukan olahraga air.
1077	apa maksudmu, 'dibersihkan?'	saya membiarkan dia mandi.
1083	siapa yang kamu pikir, kepala? !	lalu mengapa kamu tidak berbicara dengan reporter?
1084	siapa yang menyebabkan dan asal?	siapa yang kamu pikir, kepala? !
1088	apakah daa. merekam deposisinya?	ya dia selesai beberapa waktu yang lalu.
1092	ya benar .	apa itu, korfin?
1097	Apakah kamu terkena?	tidak . saya baik-baik saja .
1102	hanya satu orang yang check in?	ya
1104	maaf . .pd saja.	tidak masalah .
1107	mandi .	apapun i. d. ?
1108	dimana dia ?	mandi .
1110	apa yang dia cari?	sebuah pengatur waktu.
1112	besok waktu makan siang .	Anda siap ?
1113	kapan ?	besok waktu makan siang .
1114	Saya akan usulkan.	kapan ?
1119	kopi untukku, aku harus pelan-pelan.	vodka tonik.
1127	nak, dia sangat populer tiba-tiba.	apa yang kamu katakan ?
1128	apakah kamu memberitahunya apa yang kamu lakukan?	nak, dia sangat populer tiba-tiba.
1129	tidak .	apakah kamu memberitahunya apa yang kamu lakukan?
1158	saya serius di sini.	aku juga .
1159	maksud saya persis.	saya serius di sini.
1160	saya tidak punya pacar.	maksud saya persis.
1161	apa yang akan dipikirkan pacarmu itu?	saya tidak punya pacar.
1162	ya	apa yang akan dipikirkan pacarmu itu?
1163	kamu ingin berbicara dengannya sendirian?	ya
1168	kenapa tidak ?	sesuatu kembali ke rumah?
1178	kamu haus ?	saya sedang bertugas .
1182	dua kepala.	lebih baik dari satu.
1189	keberatan jika aku ikut denganmu?	ini tidak ada hubungannya dengan api Anda.
1190	Anda punya ide yang lebih baik?	keberatan jika aku ikut denganmu?
1191	Anda pergi ke layanan pengawalan?	Anda punya ide yang lebih baik?
1193	orang-orangku.	tetaplah disini .
1194	kamu memoles?	orang-orangku.
1205	siapa bilang dia tersangka?	kamu akan memanggilnya apa?
1208	cantik .	hmmmm .
1215	saya bahkan tidak menonton tv.	bagus bagus terpuji.
1216	nah, kenapa harus kamu?	saya bahkan tidak menonton tv.
1220	menonton berita ?	nah, aku harus melewatkannya.
1224	Anda tahu apa itu, kan?	tidak apa itu ?
1233	saya membunuh seseorang yang terkenal.	lalu lakukan itu, brengsek.
1234	apa pencapaianmu.	saya membunuh seseorang yang terkenal.
1237	jadi . .siapa yang nicky?	apa yang kamu inginkan ?
1239	Terima kasih .	jangan terlambat.
1240	sampai jumpa lagi . semoga berhasil .	Terima kasih .
1241	baik .	sampai jumpa lagi . semoga berhasil .
1242	ya, ya. hal baik .	baik .
1245	Anda berjanji ?	ya saya berjanji .
1246	malam ini	Anda berjanji ?
1247	oke, sampai malam ini.	malam ini
1248	Aku cinta kamu .	oke, sampai malam ini.
1258	ya	yah, itu hebat.
1259	itu bagus .	ya
1270	kamu kejam.	kamu tidak terlalu buruk sendiri.
1277	baiklah, baiklah, eddie. jangan menggurui saya.	saya tidak.
1285	Hei sayang .	hei
1287	baik .	baik .
1288	baik .	baik .
1289	baik ?	baik .
1290	baik .	baik ?
1291	ya sekarang bukan waktu yang baik.	baik .
1292	eddie, apa kamu baik-baik saja?	ya sekarang bukan waktu yang baik.
1293	baik-baik saja, potong, potong, potong.	eddie, apa kamu baik-baik saja?
1304	Anda tahu Anda tidak bisa melakukan itu. Ayo .	apakah itu terkait dengan narkoba?
1305	bisakah kita pergi ke TKP?	Anda tahu Anda tidak bisa melakukan itu. Ayo .
1306	ada dua mayat yang ditemukan pada titik ini.	bisakah kita pergi ke TKP?
1307	berapa banyak korban di sana?	ada dua mayat yang ditemukan pada titik ini.
1313	baik . Anda siap ?	ya, ya. yesus
1314	jauhkan mereka dari jalanku.	baik . Anda siap ?
1315	siap?	jauhkan mereka dari jalanku.
1316	Anda khawatir akan keselamatan saya. saya tersentuh.	siap?
1322	jadi apa yang unik?	bukan apa . siapa .
1332	Apakah kamu sudah menikah ?	tidak . apakah kamu mengusulkan?
1333	makanan anjing .	Apakah kamu sudah menikah ?
1334	dan apa yang kamu lakukan dengan tulang?	makanan anjing .
1335	Anda memasukkan sosis ke dalamnya.	dan apa yang kamu lakukan dengan tulang?
1350	katakan padanya untuk menurunkan senjatanya!	biarkan dia pergi ! biarkan dia pergi ! !
1353	berlutut.	dimana pasanganmu?
1373	hai, aku sayang.	dimana cewek Ceko?
1375	Saya ingin berbicara sendiri, oke?	dia tidak berbicara bahasa inggris.
1376	dua minggu .	Saya ingin berbicara sendiri, oke?
1377	berapa lama kamu berencana untuk tinggal?	dua minggu .
1378	kami berdua dari prague.	berapa lama kamu berencana untuk tinggal?
1381	tolong bergabung dengan kami. ayolah kedepan.	Apakah ada masalah ?
1382	iya nih .	tolong bergabung dengan kami. ayolah kedepan.
1386	berapa banyak uang yang Anda bawa?	saya punya lima ratus dolar.
1387	dua minggu libur.	berapa banyak uang yang Anda bawa?
1390	selanjutnya. Bisakah saya melihat dokumen Anda, tolong?	ya pak .
1397	new york terbaik. ini adalah kasusnya.	ini semua yang kamu inginkan?
1398	siapa dia ?	new york terbaik. ini adalah kasusnya.
1403	kau mengerti ?	tidak, saya tidak mengerti!
1416	aku serius .	diam . lihat!
1427	biarkan aku mencobanya.	duduk !
1430	letakkan kameranya, oleg.	apa itu ?
1431	kenapa tidak ?	letakkan kameranya, oleg.
1437	oh, sial. aku benci melihat itu!	tidak ingin merekam ini?
1439	diam .	Apakah itu menyakitkan ?
1443	masuk ke kamar mandi!	apapun yang kita lakukan - kita menidurinya, kan?
1447	bagaimana kamu menghapus ini?	Aku akan melakukannya . jangan sakiti kamera saya!
1448	Anda mengatakan berbicara ceko!	bagaimana kamu menghapus ini?
1449	berbicara bahasa Inggris !	Anda mengatakan berbicara ceko!
1453	apa ?	bau seperti bahan kimia. . .untuk obat-obatan terlarang.
1464	apakah kamu mendengar apa yang saya katakan?	saya ingin mendokumentasikan perjalanan saya ke Amerika.
1465	baik .	apakah kamu mendengar apa yang saya katakan?
1466	jangan main-main.	baik .
1467	baik .	jangan main-main.
1473	sebagai tukang ledeng? !	mudah dipelajari.
1474	ya, uangnya bagus.	sebagai tukang ledeng? !
1475	sebuah pekerjaan ?	ya, uangnya bagus.
1476	aku bisa mendapatkan pekerjaan untukmu.	sebuah pekerjaan ?
1479	kami menghabiskannya!	ha. ha.
1480	milos. dapatkan uang saya!	kami menghabiskannya!
1488	kebijaksanaan pemirsa disarankan!	Anda ingin rekaman itu? itu ada !
2329	halo	Hay ini aku . . .
2355	ya, salah satu favorit saya.	Anda membuat halaman depan.
2356	tempat yang bagus untuk makan siang.	ya, salah satu favorit saya.
2363	itulah cara saya melihatnya juga.	hubungi aku nanti .
2370	mungkin aku mendapat hari yang cukup payah di depan.	mungkin itu alasan yang bagus.
2378	Hei, kamu tahu apa yang aku pikirkan?	katakan padaku - aku akan mendengarnya.
2391	kamu sudah tidak ada harapan .	itulah cara saya melihatnya juga.
2392	hei, kamu benar.	kamu sudah tidak ada harapan .
2393	saya masih tidak berpikir itu dimuat.	hei, kamu benar.
2410	terus mengulur-ulur '.	baiklah, aku datang. . .tahan .
2414	apa yang kamu inginkan ? apa yang terjadi ?	diam .
2422	tidak bisa mengeluh.	kami banyak bicara.
2425	seberapa panas mereka?	panas? Hei, mereka bahkan bukan suhu kamar.
2434	saya tidak bisa mendapatkannya sampai hari senin. jujur	Anda punk chickenshit. . .
2448	mengembalikannya .	coba dan ambillah.
2453	jangan main-main dengan saya. berapa banyak ?	lima lembar uang.
2462	tidak buruk, tidak buruk.	kamu ingin pergi keluar?
2463	bagaimana kabarmu, bung?	tidak buruk, tidak buruk.
2469	Ixet-kiba. Saya tidak punya pikiran untuk memberi!	Anda tahu persis di mana mereka berada!
2476	jagung-i-lius?	pada layanan Anda .
2477	appipulai leeloo minai. .	jagung-i-lius?
2498	. . .kita sudah disimpan!	saya kacau!
2515	kita harus menyelamatkan dunia.	semoga berhasil . .
2530	mereka semua seperti ini di keluargamu, ayah?	dia pengecualian. .
2537	aku membawa gadis itu ingat?	gadis itu?
2538	kamu siapa ?	aku membawa gadis itu ingat?
2543	permisi, saya mencari seorang pendeta.	pernikahan adalah satu lantai ke bawah. selamat ya.
2551	adakah yang bisa menghentikannya?	iya nih . .Terima kasih Tuhan . .
2568	mereka benar-benar membuatnya. . .	sempurna.
2605	uh. . . setidaknya lima puluh.	dalam mimpimu ! sampai jumpa nanti malam !
2637	ketika kejahatan kembali, begitu juga kita.	kita akan siap, Tuan.
2666	6 . . . 5 . . .	menemukannya ?
2685	saya bahkan tidak tahu apa yang saya cari!	persetan! pegang erat-erat!
2709	. . .hi.	apakah itu menjadi lebih baik atau apa!
2715	ini istriku.	saya pikir kamu sudah bercerai.
2716	apa itu ?	ini istriku.
2717	. . .shit!	apa itu ?
2721	Trik lama adalah trik terbaik eh?	aku tidak pergi .
2725	tidakkah kamu membuka pesanmu?	Saya punya cukup kabar baik untuk hari ini
2726	hanya kamu satu-satunya yang masih hidup. . .	tidakkah kamu membuka pesanmu?
2733	untuk menyelamatkan dunia.	di mana saya pernah mendengar lagu ini sebelumnya?
2737	katakan padaku . . .	Aku cinta kamu . . .
2770	kamu perhatikan. .	ok, kamu bisa berbalik!
2776	uh. . .	. . . Hottie Happy.
2779	mereka muncul!	mereka muncul;
2783	semua 900.	Anda belajar 900 bahasa dalam lima menit? !
2784	yang mana ?	semua 900.
2785	belajar bahasa.	yang mana ?
2786	selesai apa?	belajar bahasa.
2796	cornelius. .	ya Tuhan !
2818	pria uang tunai!	sudah lama di sini?
2849	menunggu atau bertindak.	rekomendasi.
2850	pilihan .	menunggu atau bertindak.
2860	minum!	untuk ketenaran . kesehatan .
2891	siapa yang kamu telepon?	Nyonya . kristen.
2896	saya tidak tahu harus berkata apa	kamu membunuhku. . .
2904	saya ingin menelepon. saya tidak bisa.	kamu tidak bisa?
2950	Selamat Datang di rumah .	apakah kamu tahu betapa aku merindukanmu?
2954	tembakau?	apa yang Anda lihat adalah apa yang saya dapatkan, Tuan.
2956	ada yang lebih keras?	tidak ada yang lebih sulit.
2967	omong kosong.	aku beritahu padamu . . .
2983	kosongkan pistol ke atas meja, sangat hati-hati.	lihat, saya tidak tahu apa ini. . .
2985	Apakah kamu . . . ?	keluarkan senjatamu!
2990	mereka harus berada di sini sebentar lagi.	untuk apa ini?
