index	input	target
293	your sister here ?	leave my sister alone .
294	away .	your sister here ?
295	where ya goin ?	away .
297	hey -- do you mind ?	not at all
304	do what ?	get her to act like a human
305	how'd you do it ?	do what ?
306	a deal's a deal .	how'd you do it ?
307	it's about time .	a deal's a deal .
309	forget it .	forget her sister, then .
310	a hundred bucks a date .	forget it .
311	what ?	a hundred bucks a date .
312	i just upped my price	what ?
316	when i shell out fifty, i expect results .	i'm on it
327	you just said	you need money to take a girl out
328	sure, sparky . i'll get right on it .	you just said
331	what do you think ?	two legs, nice rack . . .
332	yeah	what do you think ?
337	uh, yeah . we're old friend*	you and verona ?
338	i hear you're helpin' verona .	uh, yeah . we're old friend*
345	nope - just came by to chat	we don't chat .
346	are you lost ?	nope - just came by to chat
347	hey .	are you lost ?
351	have you seen him ?	who ?
360	i did bianca a favor and it backfired .	you didn't
365	what'd he say ?	who cares ?
367	you think this'll work ?	no fear .
372	that's never been proven	neither has his heterosexuality .
373	william didn't even go to high school	that's never been proven
381	what's this ?	an attempted slit .
382	just a little .	what's this ?
385	he always look so	block e ?
389	who's that ?	patrick verona  random skid .
408	my grandmother's .	what ?
411	it's just something i had . you know	oh huh
422	no, i won't go with you	why not ?
423	no what ?	no, i won't go with you
424	no .	no what ?
425	you know what i mean	no .
426	is that a request or a command ?	you know what i mean
427	go to the prom with me	is that a request or a command ?
430	what ?	no one else knows
434	tell me something true .	i hate peas .
436	hearsay .	i know the porn career's a lie .
437	the duck ?	hearsay .
438	fallacy .	the duck ?
439	state trooper ?	fallacy .
441	you up for it ?	for . . . ?
442	you never disappointed me .	you up for it ?
443	how ?	you never disappointed me .
444	then you screwed up	how ?
445	something like that	then you screwed up
449	acting the way we do .	yes
450	so what's your excuse ?	acting the way we do .
451	yeah, well, don't let it get out	so what's your excuse ?
452	a soft side ? who knew ?	yeah, well, don't let it get out
453	i dazzled him with my wit	a soft side ? who knew ?
461	put your right foot there --	forget it . i'm stayin' .
462	try lookin' at it from this angle	put your right foot there --
463	c'mon . it's not that bad	try lookin' at it from this angle
468	so what did i have an effect on ?	other than my upchuck reflex ? nothing .
472	wholesome .	unwelcome .
473	pleasant ?	wholesome .
474	you 're so --	pleasant ?
475	i heard there was a poetry reading .	you 're so --
476	what are you doing here ?	i heard there was a poetry reading .
480	who ?	bianca
484	oh, so now you think you know me ?	i'm gettin' there
487	start a band ?	my father wouldn't approve of that that
488	this .	start a band ?
489	do what ?	this .
490	i should do this .	do what ?
491	why'd you lie ?	i should do this .
492	then why'd you ask ?	why'd you lie ?
493	no, you weren't	then why'd you ask ?
494	maybe .	no, you weren't
495	were you in jail ?	maybe .
496	busy	were you in jail ?
501	kat ! wake up !	what ?
503	i thought you were above all that	you know what they say
507	dorsey .	i hate him .
508	who ?	dorsey .
509	why'd you let him get to you ?	who ?
515	sure, i do	why ?
516	you don't care if i die	sure, i do
517	i told you	you don't care if i die
518	why 're you doing this ?	i told you
525	you're not okay .	i just need to lie down for awhile
526	i'm fine . i'm	you're not okay .
527	okay ?	i'm fine . i'm
529	i say, do what you wanna do .	funny, you're the only one
533	you know who the raincoats are ?	why, don't you ?
537	excuse me ?	that's what you want, isn't it ?
542	hi	you're not a big talker, are you ?
546	you -- covered in my vomit .	seven-thirty ?
556	pick you up friday, then	oh, right . friday .
558	there's a way to get a guy's attention .	my mission in life .
559	sweating like a pig, actually . and yourself ?	there's a way to get a guy's attention .
560	i mean wo-man . how ya doin' ?	sweating like a pig, actually . and yourself ?
569	parts of it .	which parts ?
579	as a parent, that's my right	so what i want doesn't matter ?
580	because you're making decisions for me .	as a parent, that's my right
581	why can't we agree on this ?	because you're making decisions for me .
582	i thought you were punishing me .	why can't we agree on this ?
585	my insurance does not cover pms	then tell them i had a seizure .
601	kat a fan, too ?	yeah . . .
602	right .	kat a fan, too ?
603	macbeth, right ?	right .
605	you think ?	oh yeah .
606	yeah . i guess .	you think ?
607	cool pictures . you a fan ?	yeah . i guess .
608	hi .	cool pictures . you a fan ?
609	hey there . tired of breathing ?	hi .
612	you were right . she's still pissed .	sweet love, renew thy force !
618	ever been to club skunk ?	yeah .
620	"are you telling me i'm a - ""non-smoker"" ?"	just for now .
622	what ? !	good enough .
635	say it	what ?
637	you're completely demented .	see you next week !
650	absolutely not .	that ' s what i thought
651	did i have anything to say about it ?	absolutely not .
652	your daughters went to the prom .	did i have anything to say about it ?
653	what just happened ?	your daughters went to the prom .
655	have a great time, honey !	but -- who -- what -- ?
663	tumescent !	you're not helping .
668	in the microwave .	make anyone cry today ?
673	he's the devil's child . . .	we'll all go crazy . . .
690	your life, and that of others !	if they agree to follow me, yes .
712	can't you stay with us a little ?	i am busy inside .
719	beatrix, i want to ask you something .	you don't usually ask .
721	i don't want you to wait for me .	that's something you can't decide .
722	i'm not asking you to swear to anything .	i don't want you to wait for me .
724	she said yes .	thank god . . .
731	i know .	i haven't given you much of a life .
732	i could be gone for years .	i know .
739	appointment to what ?	viceroy of the west indies .
740	my letters of appointment .	appointment to what ?
741	yes . . . i remember . . .	my letters of appointment .
742	don alonso de bobadilla .	yes . . . i remember . . .
744	may i ask by whom ?	bartolome and giacomo colon .
758	how are you feeling, fernando ?	not bad .
760	i have to explore the mainland .	this time with me !
765	i want to go with you !	there'll be a time .
769	look out of that window .	what do you see ?
780	you defend yourself admirably . . .	 . . . for a commoner ?
786	i'm not bargaining !	then you are too ambitious .
790	no . . .	no ?
796	he understands .	ask him if he will help .
802	to bring the word of god .	chief says -- he has a god .
803	why ?	to bring the word of god .
804	thousands .	why ?
805	chief says -- how many ?	thousands .
808	tell the chief we thank him .	chief knows .
809	you come ! you speak first !	tell the chief we thank him .
815	new worlds create new people .	oh ? so you are a new man ?
816	i knew you would .	new worlds create new people .
817	i have to disagree .	i knew you would .
819	i suppose we're both old men now .	you'll always be older than me, father .
821	i believed in you . . .	give me absolution .
822	you are bound by an oath, father .	i believed in you . . .
832	forgive me, father . for i have sinned .	i am listening, my son .
833	in nomine patris et filius, et spiritus sancti .	forgive me, father . for i have sinned .
835	all of them ! just lies !	colon ! don't !
838	damn god !	colon !
846	father marchena !	passion is something one cannot control !
847	i'll try to remember that, marchena . . .	father marchena !
850	esdras is a jew .	so was christ !
859	that's what it says .	how did you manage it ?
860	god . . . that's in a week !	that's what it says .
874	may i speak freely ?	you show no inclination to speak otherwise !
876	i cannot ignore the verdict of my council .	surely you can do anything you want .
877	that she was impregnable .	i cannot ignore the verdict of my council .
878	what did they say about granada before today ?	that she was impregnable .
879	the ocean is uncrossable ?	what did they say about granada before today ?
888	my horse doesn't work .	don moxica -- we all have to work .
889	we can't raise the wheel without it .	my horse doesn't work .
901	what do you read ?	twenty eight .
909	you tell that to them !	you're right . let the men decide .
917	we're lost !	the land is there . i know it !
918	you think i don't know that ?	we're lost !
919	we're on the verge of a mutiny, colon !	you think i don't know that ?
922	six days ago, yes .	you must be mad . . . !
925	where can i meet this man ?	immediately .
927	then why ?	because he is not afraid of me .
928	i know, i should not tolerate his impertinence .	then why ?
931	then, what do you suggest, don sanchez ?	he must be replaced .
941	is that the man i knew, treasurer sanchez ?	yes, your majesty .
964	no . no way .	but it's . . .
969	don't worry about him . think about yourself .	what about my movie rights ? book rights ?
970	no, he is here . shit . . .	don't worry about him . think about yourself .
975	 . . .delusions and paranoia .	i was all of these .
977	you bring the cigarettes ?	oh, sure .
981	i'm coming with you .	yes . yes, come with me !
982	where are we going ?	i'm coming with you .
983	don't say anything .	where are we going ?
987	here . i have your money .	oh no ! no ! shit !
995	what are you doing ?	pouring it out !
997	i'll make some for us .	i'll get my clothes .
998	in the kitchen .	i'll make some for us .
999	do you have coffee ?	in the kitchen .
1000	right .	do you have coffee ?
1001	you better get packed .	right .
1007	ludwig ? he's gay - are you jealous ?	if i was your boyfriend, i might be .
1008	is he your boyfriend ?	ludwig ? he's gay - are you jealous ?
1010	i still can't believe eddie's gone .	i'm sorry .
1011	are you alright ?	i still can't believe eddie's gone .
1019	so you were never a prostitute ?	what are you asking me ?
1022	what about back home ?	no .
1023	no .	what about back home ?
1024	did you ever turn tricks before ?	no .
1025	yes, i considered it .	did you ever turn tricks before ?
1026	you considered becoming a prostitute ?	yes, i considered it .
1027	yeah . this way .	you considered becoming a prostitute ?
1028	so . . .the station is empty ?	yeah . this way .
1031	i can't take you to my place .	somewhere else ?
1034	are you married ?	divorced .
1035	they won't until this is over .	are you married ?
1036	i will if they don't send me back .	they won't until this is over .
1040	alright . that's a justifiable homicide .	yes, but he was a cop .
1057	oh yeah . . . ? alright .	i'm ready to be briefed . excuse us .
1061	oh .	it was my decision, not his .
1072	chief - mind if i take her ?	okay . but not water sports .
1077	what do you mean, 'cleaned up ?'	i let her take a shower .
1083	who do you think, chief ? !	then why didn't you talk to the reporter ?
1084	who did cause and origin ?	who do you think, chief ? !
1088	did the d .a . videotape her deposition ?	yeah . he finished awhile ago .
1092	yeah, right .	what was that, korfin ?
1097	are you hit ?	no . i'm okay .
1102	only one guys checked in ?	yeah .
1104	sorry . . .pd only .	it's okay .
1107	takin' a bath .	any i .d . ?
1108	where is she ?	takin' a bath .
1110	what's he looking for ?	a timer .
1112	tomorrow . at lunch .	you ready ?
1113	when ?	tomorrow . at lunch .
1114	i'm gonna propose .	when ?
1119	coffee for me, i gotta slow down .	vodka tonic .
1127	boy, she's so popular all the sudden .	what are you saying ?
1128	did you tell him you did ?	boy, she's so popular all the sudden .
1129	no .	did you tell him you did ?
1158	i'm serious here .	so am i .
1159	my point exactly .	i'm serious here .
1160	i don't have a girlfriend .	my point exactly .
1161	what would your girlfriend think of that ?	i don't have a girlfriend .
1162	yeah .	what would your girlfriend think of that ?
1163	you wanna talk to her alone ?	yeah .
1168	why not ?	something back home ?
1178	you thirsty ?	i'm on duty .
1182	two heads .	better than one .
1189	mind if i ride along with you ?	this has nothing to do with your fire .
1190	you got any better ideas ?	mind if i ride along with you ?
1191	you goin' to the escort service ?	you got any better ideas ?
1193	my folks are .	stay here .
1194	you're polish ?	my folks are .
1205	who says she's a suspect ?	what would you call her ?
1208	pretty .	hmmmm .
1215	i don't even watch tv .	good . good . commendable .
1216	nah, why should you ?	i don't even watch tv .
1220	watch the news ?	nah, i musta missed it .
1224	you know what that is, right ?	no, what is it ?
1233	i kill someone famous .	then do it, asshole .
1234	what's your accomplishment .	i kill someone famous .
1237	so . . .who's nicky ?	what do you want ?
1239	thank you .	don't be late .
1240	see you later . good luck .	thank you .
1241	okay .	see you later . good luck .
1242	yeah, yeah . good thing .	okay .
1245	you promise ?	yeah . i promise .
1246	tonight .	you promise ?
1247	okay, til tonight .	tonight .
1248	i love you .	okay, til tonight .
1258	yeah .	well, that's great .
1259	that's good .	yeah .
1270	you're ruthless .	you're not so bad yourself .
1277	alright, alright, eddie . don't patronize me .	i'm not .
1285	hey, honey .	hey .
1287	alright .	okay .
1288	alright .	alright .
1289	alright ?	alright .
1290	alright .	alright ?
1291	yeah . now's not a good time .	alright .
1292	eddie, are you okay ?	yeah . now's not a good time .
1293	alright, cut, cut, cut .	eddie, are you okay ?
1304	you know you can't do that . c'mon .	is it drug related ?
1305	can we go up to the crime scene ?	you know you can't do that . c'mon .
1306	there are two bodies found at this point .	can we go up to the crime scene ?
1307	how many victims are up there ?	there are two bodies found at this point .
1313	okay . you ready ?	yeah, yeah . jesus .
1314	keep them out of my way .	okay . you ready ?
1315	ready ?	keep them out of my way .
1316	you're worried for my safety . i'm touched .	ready ?
1322	so what's unique ?	not what . who .
1332	are you married ?	no . are you proposing ?
1333	dog food .	are you married ?
1334	and what do you do with the bones ?	dog food .
1335	you stuff sausage in it .	and what do you do with the bones ?
1350	tell him to put his gun down !	let her go ! let her go ! !
1353	get down on your knees .	where's your partner ?
1373	hi, i'm honey .	where's czech girl ?
1375	i'd like to speak for himself, okay ?	he doesn't speak english .
1376	two weeks .	i'd like to speak for himself, okay ?
1377	how long are you planning to stay ?	two weeks .
1378	we are both from prague .	how long are you planning to stay ?
1381	please join us . come on forward .	is there a problem ?
1382	yes .	please join us . come on forward .
1386	how much money are you carrying with you ?	i have five-hundred dollars .
1387	two weeks holiday .	how much money are you carrying with you ?
1390	next . could i see your documents, please ?	yes sir .
1397	new york's finest . this is his case .	this all you want ?
1398	who is he ?	new york's finest . this is his case .
1403	you got that ?	no, i don't get that !
1416	i'm serious .	shut up . look !
1427	let me get a shot of it .	sit down !
1430	put the camera down, oleg .	what is that ?
1431	why not ?	put the camera down, oleg .
1437	oh, shit . i hate looking at that !	don't want to film this ?
1439	shut up .	does it hurt ?
1443	get in the bathroom !	whatever we do - we fuck her, right ?
1447	how you erase this ?	i'll do it . don't hurt my camera !
1448	you said speak czech !	how you erase this ?
1449	speak english !	you said speak czech !
1453	what ?	smell like chemicals . . .for smoking drugs .
1464	did you hear what i said ?	i want to document my trip to america .
1465	okay .	did you hear what i said ?
1466	don't fool around .	okay .
1467	okay .	don't fool around .
1473	as a plumber ? !	it's easy to learn .
1474	yes, the money is good .	as a plumber ? !
1475	a job ?	yes, the money is good .
1476	i can get you a job .	a job ?
1479	we spent it !	ha . ha .
1480	milos . get my money !	we spent it !
1486	emil ? ? ? !	surprise ! surprise !
1488	viewer discretion advised !	you want the tape ? there it is !
1492	what are you doing here ?	you've got a call .
1493	robert . . . ?	what are you doing here ?
1500	yeah ?	paulie, you've got kids, right ?
1507	i'm trying to tell you .	alright . go ahead .
1508	i want to hear everything he said .	i'm trying to tell you .
1509	well, he . . .	i want to hear everything he said .
1516	what are you coming here to do ?	i'm here for movies .
1517	a cheap hotel .	what are you coming here to do ?
1526	he's my collar !	well, he killed my partner !
1527	we're takin' him . don't argue !	he's my collar !
1528	no way ! he's mine !	we're takin' him . don't argue !
1529	i'll take him .	no way ! he's mine !
1531	what was that ?	evidence . of a homicide .
1532	yeah, well, some people got their priorities straight .	what was that ?
1537	no . go ahead .	thanks . appreciate it .
1544	fire department ? firemen don't carry guns .	oh yeah ? guess again .
1545	okay, you're under arrest ! now you happy ?	fire department ? firemen don't carry guns .
1546	alright, how 'bout all your fuckin' money ?	okay, you're under arrest ! now you happy ?
1551	i used an accelerant .	yeah ? what kind ?
1552	how did you start the fire this time ?	i used an accelerant .
1557	get outta here !	what the hell happened ?
1559	how was it ?	not good .
1561	it hurts . aw, jesus !	lay down . stay down, bobby .
1562	bobby, bobby ! where're you hit ? !	it hurts . aw, jesus !
1567	how long they been livin' here ?	you hear that question, garcia ?
1570	yeah ?	maybe you can be his stand-in .
1576	he knew all along .	what ? ?
1581	clean ?	don't blow your nose !
1582	mouth's clean, too .	clean ?
1586	oh yeah, why ?	'cause eddie woulda locked him up by now !
1587	naw - i'm sure the suspect's not here .	oh yeah, why ?
1594	take the car . get outta here, tommy .	look, you can't shoot him in cold blood .
1595	don't stoop to his level !	take the car . get outta here, tommy .
1623	continued	she's wonderful .
1636	hal ?	yes .
1642	you're kidding .	no .
1646	good morning . how's it going ?	are you reasonably awake ?
1654	i suppose it isn't logically impossible .	i guess it isn't .
1655	but not completely inconceivable ?	i suppose it isn't logically impossible .
1656	i know . it would be almost inconceivable .	but not completely inconceivable ?
1664	that seems very unlikely .	yes, i thought so .
1680	really .	yes .
1685	it's about my salary cheques .	yes ?
1686	what's up ?	it's about my salary cheques .
1687	well, it's nothing really important, but it's annoying .	what's up ?
1688	sure, what is it ?	well, it's nothing really important, but it's annoying .
1691	okay .	okay, come on down .
1692	right . just a sec .	okay .
1709	the antenna has to be replaced .	repairing the antenna is a pretty dangerous operation .
1712	yes, it is .	i suppose you're pretty broken up about it ?
1713	too bad about frank, isn't it ?	yes, it is .
1716	is your confidence in me fully restored ?	yes, it is, hal .
1717	and don't you worry about it .	is your confidence in me fully restored ?
1718	well, don't worry about it .	and don't you worry about it .
1719	i'm sorry about the misunderstanding, hal .	well, don't worry about it .
1741	continued	still, you really don't believe it, do you ?
1745	continued	well, what is it ?
1747	continued	did they have any explanation for this ?
1751	'bye, 'bye, now, sweetheart .	goodbye, daddy .
1752	yes, daddy .	'bye, 'bye, now, sweetheart .
1760	where is mrs . brown ?	she's in the bathroom .
1761	mommy's out to the hair- dresser .	where is mrs . brown ?
1764	when are you coming home ?	in three days, darling, i hope .
1767	yes, i know that sweetheart .	are you coming to my party ?
1768	i'm having a party tomorrow .	yes, i know that sweetheart .
1778	thank you .	well, how's it going back there ?
1779	oh, thank you very much .	thank you .
1790	oh, that's such a delightful age .	how is gregor ?
1797	well, shall we go through documentation ?	fine .
1798	yes, very pleasant .	well, shall we go through documentation ?
1810	fortunately, they did .	well, i'm glad about that .
1814	that's right .	i see .
1825	are you quite sure ?	yes, really, thank you very much .
1867	roger .	hal, check all airlock doors secure .
1868	hal, maintain normal e .v .a . condition .	roger .
1869	i understand .	hal, maintain normal e .v .a . condition .
1873	hal, have pod arms secure the component .	roger .
1875	that's true .	thank you very much, hal .
1889	we don't wash 'em, ya know .	how about chargin' the battery ?
1890	yeah, i've been busy .	we don't wash 'em, ya know .
1891	this is three years old .	yeah, i've been busy .
1892	hammond .	this is three years old .
1893	name ?	hammond .
1894	i want to pick up my car .	name ?
1895	yeah ?	i want to pick up my car .
1905	maybe you better have a black russian .	no, man, i think i'll have a vodka .
1906	vodka .	maybe you better have a black russian .
1907	yeah .	vodka .
1916	yeah, dummy . money .	i never paid for it in my life .
1917	pay money ?	yeah, dummy . money .
1918	pros .	pay money ?
1919	whaddya mean, buy ?	pros .
1922	i want to drive awhile .	i ain't tired yet .
1924	maybe you shoulda stole a better truck, tonto .	you got a real big mouth, convict .
1933	well, maybe i'll see you later . . .	here's hoping, baby . . .
1938	yeah, i been waiting three years .	you just quit bein' a priest or somethin' ?
1939	you're in a hurry .	yeah, i been waiting three years .
1940	here you go sweetheart, throw it my way .	you're in a hurry .
1949	where's ganz ?	in the back . down the other corridor .
1952	you're gonna help us take him .	no chance .
1957	i hear you've got visitors .	would you guys . . .
1991	hey, there she is . . .	whatever play i maker just back me up .
1999	it's late, they're closing . . .	don't worry about it .
2000	yeah, but we didn't get 'em .	it's late, they're closing . . .
2008	notice something funny about that bus ?	yeah . it missed the last four stops .
2010	why ?	luther's on the move . . .
2028	what about ganz ?	we missed .
2029	what about luther ?	what about ganz ?
2036	you stay with me . . .	no way . . .
2037	bullshit . then i'm staying with the money .	you stay with me . . .
2068	what ?	musta got some primo bondsman .
2069	guess what ? luther just got in line .	what ?
2079	where's the goddamn car ?	you're a real case, you know that, jack ?
2080	yeah . right .	where's the goddamn car ?
2087	not likely, convict .	you gonna let me keep any of it ?
2088	we split 50-50 ?	not likely, convict .
2094	half a million .	jesus .
2095	how much ?	half a million .
2111	must be billy's girl .	come on .
2112	there .	must be billy's girl .
2143	last night .	you have a good time ?
2144	last night, two nights ago, three ?	last night .
2145	i don't give out the details .	last night, two nights ago, three ?
2147	now, where we goin', convict ?	mission district . gonna find us an indian .
2165	thank you .	want to try it again ?
2166	hey, this works pretty good .	thank you .
2181	luther was part of the gang ?	what gang you talkin' about, jack ?
2198	it's the only way you're gonna get ganz .	i'll think about it .
2199	bullshit .	it's the only way you're gonna get ganz .
2200	i got a lot to protect .	bullshit .
2215	where the christ do you think you're going ?	i'm taking my prisoner back to jail .
2223	you couldn't get to him ?	what a screw-up .
2228	i lost them, that's what happened .	how did they get away ?
2229	what the bell happened ?	i lost them, that's what happened .
2233	jack ?	yeah ?
2240	yeah . . .	anthing botherin' you besides losin' your gun ?
2251	that's what you say, cates . . .	yeah .
2258	i'm heading out . how about you ?	i got to wait for a call .
2259	bullshit red tape .	i'm heading out . how about you ?
2263	aw, bullshit, you heard wrong .	doesn't look like it .
2268	here's the file . cates checks the file .	one of em's in the slam .
2271	tell me that's not the same guy .	hey . . . dick tracy .
2295	you're impossible . . .	that's what i always say .
2300	three more hours . . .	where is he ?
2326	hey, i don't believe it .	hiya, kid .
2328	hi, it's me . . .	fuck you .
2329	hello .	hi, it's me . . .
2331	jack, wait . . .	just a second, that's all !
2336	no, it's i'm just surprised you called .	so am i .
2337	no wonder you're so popular .	no, it's i'm just surprised you called .
2355	yeah, one of my favorites .	you made the front page .
2356	great place for lunch .	yeah, one of my favorites .
2360	yeah, for some reason, i'm sure . . .	thanks for the coffee .
2361	you sure you want me to ?	yeah, for some reason, i'm sure . . .
2362	call me later .	you sure you want me to ?
2363	that's the way i see it, too .	call me later .
2364	you know something, jack, you really are hopeless .	that's the way i see it, too .
2370	maybe i got a fairly crummy day ahead .	maybe that makes a nice excuse .
2378	hey, you know what i really think ?	tell me--i'm dyin' to hear it .
2389	i'm all wet .	what's wrong with that ?
2390	that's the way i see it, too .	i'm all wet .
2391	you're hopeless .	that's the way i see it, too .
2392	hey, you're right .	you're hopeless .
2393	i still don't think it's loaded .	hey, you're right .
2401	hey, two days with him is enough .	that's no bull .
2402	how would you know ?	hey, two days with him is enough .
2403	hard man to live with .	how would you know ?
2410	keep stallin' .	alright, i'm coming . . .hold on .
2412	stall .	what do you want ?
2414	what do you want ? what's goin' on ?	shut up .
2417	hey . . .	shut up .
2419	we'll follow you . take it slow,okay ?	sure, right .
2420	yeah, old times .	we'll follow you . take it slow,okay ?
2421	we got a lot to talk about .	yeah, old times .
2422	can't complain .	we got a lot to talk about .
2423	how ya doin' ?	can't complain .
2424	hot ? hey, they're not even room temperature .	how ya doin' ?
2425	how hot are they ?	hot ? hey, they're not even room temperature .
2429	let her go .	first, the money .
2434	i can't get it until monday . honest .	you chickenshit punk . . .
2435	when ?	i can't get it until monday . honest .
2438	don't give me this, we were partners .	billy, go ahead, break it . . .
2441	i don't know what you're talkin' about .	you want that indian to snap her neck ?
2444	surprise, luther .	whaddya want ? i thought you were locked up-
2448	give it back .	try and take it .
2451	five . on credit .	this ain't a credit business .
2452	five bills .	five . on credit .
2453	don't mess with me . how much ?	five bills .
2460	naw, right here's okay .	you sure ?
2461	you want to go outside ?	naw, right here's okay .
2462	not bad, not bad .	you want to go outside ?
2463	how you doing, man ?	not bad, not bad .
2469	ikset-kiba . me imanetaba oum dalat !	you know exactly where they are !
2471	san agamat chay bet . . . envolet !	the case was stolen ?
2474	what're you laughing about ?	napoleon . . . small .
2476	corn-i-lius ?	at your service .
2477	appipulai leeloo minai . .	corn-i-lius ?
2479	you are a monster, zorg !	i know . . .
2487	 . . .would you like a drink ?	no thank you .
2498	 . . .we're saved !	i'm fucked !
2507	leeloo's in trouble ?	when is she not in trouble ?
2514	good luck . .	of course .
2515	we have to save the world .	good luck . .
2516	what kind of mission ?	we have to save the world .
2521	"it means, ""never without my permission"" ."	that's what i thought .
2530	they all like this in your family, father ?	she's an exception . .
2532	so you do know her .	uh yes, we're cousins . .distant cousins . .
2535	he's a she !	you noticed . . .
2537	i brought the girl remember ?	the girl ?
2538	who are you ?	i brought the girl remember ?
2543	excuse me, i'm looking for a priest .	weddings are one floor down . congratulations .
2551	is there anything that can stop it ?	yes . .thank god . .
2568	they really made her . . .	perfect .
2569	i didn't know your size .	they really made her . . .
2581	it's a miracle ! ! !	what is ?
2605	uh . . . at least fifty .	in your dreams ! see you tonight !
2611	how do i look ?	like shit .
2612	i just found a picture of you .	how do i look ?
2613	don't exist bud .	i just found a picture of you .
2621	yeah ?	hey bud ! finger here .
2625	 . . .what's your name ?	leeloo minai lekarariba-laminai-tchai ekbat de sebat .
2635	akina delutan, nou-shan .	 . . .'scuse me ?
2637	when evil returns so shall we .	we will be ready, lord .
2646	you little sleaze bag !	 . . .ma ? ? ?
2647	hello ?	you little sleaze bag !
2649	have you pulled yourself together ?	 . . .not yet .
2650	yeah ?	have you pulled yourself together ?
2660	are you listening to me, you ingrate !	yes ma . .
2666	6 . . . 5 . . .	found it ?
2670	i'm sorry . .	this is a police control action . .
2684	fuck it ! hold tight !	solid little jobs, aren't they ?
2685	i don't even know what i'm looking for !	fuck it ! hold tight !
2687	you know how to fly this thing ?	it's like a cab isn't it ?
2709	 . . .hi .	does it get any better or what !
2711	three of us will never fit in there !	oh, yes you will . . .
2715	it's my wife .	i thought you were divorced .
2716	what is it ?	it's my wife .
2717	 . . .shit !	what is it ?
2720	i'm not going .	why not ?
2721	old tricks are the best tricks eh ?	i'm not going .
2725	don't you open your messages ?	i've had enough good news for today
2726	you're the only one left alive . . .	don't you open your messages ?
2727	and the third one ?	you're the only one left alive . . .
2733	to save the world .	where have i heard this song before ?
2734	what mission ?	to save the world .
2737	tell me . . .	i love you . . .
2744	 . . .like love . . .	exactly .
2751	it's up to you now, angel !	i'm so tired . . .
2764	and you can't concentrate with me around ? .	it's difficult .
2769	ok, you can turn around !	where you going ?
2770	you noticed . .	ok, you can turn around !
2776	uh . . .	 . . .hoppi-hoppa .
